DateTime,AddedIPs,RemovedIPs
1603156769,5,2
1603159441,4385,4598
1603160882,963,888
1603163740,1,0
1603167636,3,6
1603170371,1645,1624
1603172403,772,779
1603178142,1,5
1603181166,1475,1442
1603181741,0,6
1603187762,526,522
1603188593,2,6
1603191603,152,153
1603191841,1397,1346
1603191948,3,0
1603195443,342,347
1603199408,1,5
1603202641,2073,2035
1603206963,2,6
1603210310,2,7
1603210802,139,148
1603213441,2743,2732
1603218483,136,141
1603220755,1,0
1603221332,4,3
1603224241,3338,3322
1603230002,103,112
1603232316,4,3
1603235041,3821,3788
1603237684,237,296
1603241522,199,198
1603243428,2,7
1603245362,198,199
1603245841,4409,4590
1603246569,2,0
1603249202,971,923
1603251398,1,0
1603254639,2,2
1603256883,2325,2322
1603260356,1,0
1603264940,2,1
1603267441,1361,1347
1603267578,2,0
1603272483,473,463
1603275878,2,2
1603278241,1364,1328
1603278344,1,0
1603284003,345,352
1603286313,0,1
1603287842,352,345
1603289052,1879,1847
1603291922,435,467
1603292749,1,0
1603294766,256,0
1603296517,100,104
1603297426,2,3
1603299841,2668,2631
1603307283,120,130
1603308180,2,2
1603310641,3339,3341
1603312231,1,0
1603314963,134,156
1603318802,156,134
1603319061,6,4
1603321441,3877,3837
1603322642,132,156
1603323658,55,151
1603326482,182,180
1603329700,3,1
1603330322,180,182
1603332241,4559,4757
1603334162,973,893
1603340629,2,2
1603343041,1631,1615
1603345682,536,523
1603349522,599,604
1603351545,3,2
1603353841,1580,1542
1603357209,429,431
1603362064,2,9
1603364641,1395,1358
1603368722,228,244
1603372562,244,228
1603373022,4,6
1603374195,251,0
1603375441,2080,2024
1603376402,227,243
1603377027,0,248
1603380242,189,195
1603383950,4,4
1603384360,61,68
1603386241,2832,2810
1603386372,1,0
1603391762,121,132
1603393713,1,0
1603394795,0,2
1603395843,132,121
1603397041,3353,3344
1603399683,119,132
1603403522,104,115
1603405774,2,3
1603407362,115,104
1603407841,3842,3835
1603410861,52,131
1603411203,101,115
1603416697,3,4
1603418882,5545,5695
1603427268,2,3
1603429441,1647,1622
1603430402,749,750
1603438245,1,3
1603440241,1510,1492
1603440351,1,0
1603442162,466,501
1603448314,1,3
1603451041,1408,1355
1603451134,0,1
1603451771,0,509
1603457531,332,344
1603459175,2,3
1603461841,2025,1989
1603469736,1,0
1603470083,1,1
1603472168,59,52
1603472882,2973,2933
1603481051,7,6
1603483539,3334,3313
1603488483,102,112
1603492107,8,7
1603494241,3829,3830
1603496162,120,123
1603496994,317,173
1603502761,3,2
1603505041,4499,4696
1603511522,159,164
1603513293,4,4
1603516088,1609,1592
1603519202,950,897
1603523042,897,950
1603524197,0,19
1603526883,2366,2283
1603530736,551,577
1603535066,3,6
1603537441,1272,1217
1603537533,1,0
1603538402,431,438
1603545908,4,4
1603548241,1654,1628
1603553762,361,376
1603556795,4,11
1603557603,203,193
1603559041,2340,2333
1603560050,54,56
1603561443,193,203
1603567561,3,13
1603569122,29,30
1603569937,2845,2803
1603571438,0,255
1603572963,144,145
1603576812,45,43
1603577740,0,255
1603578330,7,13
1603580882,3464,3467
1603583299,42,188
1603584337,1,0
1603589315,4,8
1603591441,3996,4186
1603591537,1,0
1603592642,4,1
1603598740,2,0
1603600322,84,905
1603602241,1512,1484
