DateTime,AddedIPs,RemovedIPs
1603962724,17,40
1603963324,23,0
1603963924,27,34
1603964524,19,0
1603965123,34,13
1603965724,11,19
1603966324,15,0
1603966924,31,26
1603968124,25,54
1603968724,28,20
1603969324,37,0
1603969924,31,24
1603970524,12,0
1603971124,35,28
1603971724,19,0
1603972924,30,15
1603974124,28,79
1603975324,30,0
1603976524,12,30
1603977723,24,0
1603978924,22,56
1603980124,21,29
1603980724,13,13
1603981324,31,56
1603982524,28,27
1603983724,16,0
1603984323,8,7
1603984923,4,71
1603986723,27,15
1603987324,19,13
1603987924,19,40
1603988524,29,0
1603989723,25,49
1603990924,30,28
1603992124,47,48
1603992724,23,51
1603993325,19,26
1603993924,21,0
1603994524,30,16
1603995123,30,24
1603995724,26,19
1603996924,27,24
1603997524,29,0
1603998124,26,77
1603998724,8,0
1603999924,75,18
1604000523,17,19
1604001124,15,0
1604001724,21,26
1604002324,53,27
1604003524,28,31
1604004124,23,0
1604005324,47,14
1604006524,34,41
1604007124,37,0
1604007724,13,0
1604008924,24,48
1604010124,35,29
1604010724,14,33
1604011324,26,24
1604011924,23,0
1604012524,29,0
1604013724,22,29
1604014324,37,72
1604014924,32,36
1604015523,41,0
1604016124,32,0
1604016724,39,49
1604017324,27,54
1604018523,32,24
1604019724,18,49
1604020924,41,54
1604021524,22,0
1604022124,37,46
1604023323,21,50
1604023924,25,44
1604024523,29,0
1604025724,13,0
1604026324,19,48
1604026923,14,0
1604028124,17,7
1604029325,12,74
1604030523,25,42
1604031724,29,8
1604032925,38,0
1604033525,30,12
1604034124,11,6
1604035324,22,37
1604035924,32,21
1604036524,30,63
1604037724,23,11
1604038324,17,0
1604038924,60,0
1604040125,28,71
1604041324,23,32
1604042525,35,35
1604043124,17,0
1604043724,25,11
1604044924,27,15
1604046124,24,43
1604047325,19,71
1604048524,26,8
1604049724,25,47
1604050324,6,0
1604050924,8,18
1604051524,17,53
1604052125,23,22
1604052724,34,0
1604053324,14,23
1604053924,32,59
1604054524,33,0
1604055724,39,51
1604056924,42,62
1604058124,29,39
1604058724,31,0
1604059324,25,36
1604060524,22,0
1604061724,41,42
1604062924,34,0
1604064124,52,77
1604065324,20,0
1604066524,36,33
1604067724,36,23
1604068924,27,43
1604070124,34,4
1604071323,34,10
1604072524,26,8
1604073124,26,16
1604073724,35,17
1604074924,19,57
1604075525,33,0
1604076124,26,52
1604076724,28,0
1604077324,24,0
1604078524,23,38
1604079724,26,20
1604080924,23,49
1604081524,21,26
1604082724,27,37
1604083324,26,0
1604084523,28,42
1604085723,35,25
1604086924,26,96
1604088124,30,77
1604088724,15,0
1604089324,39,44
1604089923,22,31
1604090523,28,19
1604091724,27,54
1604092324,16,0
1604092924,24,34
1604094124,13,25
1604094724,38,21
1604095324,10,0
1604096524,13,22
1604097724,38,54
1604098924,26,17
1604100124,35,58
1604101325,44,92
1604101925,26,29
1604102524,23,30
1604103723,16,33
1604104324,28,44
1604105523,18,0
1604106124,7,0
1604106723,8,43
1604107924,42,46
1604108523,20,0
1604109724,29,47
1604110324,25,0
1604111525,31,46
1604112124,15,11
1604113324,9,45
1604113924,16,0
1604114524,35,16
1604115124,28,0
1604115724,24,0
1604116324,11,36
1604116924,26,0
1604118124,18,36
1604118724,17,31
1604119324,40,17
1604120524,29,31
1604121124,20,20
1604121724,10,38
1604122924,28,30
1604123524,13,11
1604124124,30,0
1604125324,36,28
1604125924,19,85
1604126524,41,0
1604127724,26,32
1604128324,9,0
1604128924,23,0
1604130124,21,82
1604131324,39,26
1604132524,24,24
1604133724,17,0
1604134924,41,49
1604135524,18,31
1604136725,21,11
1604137924,15,49
1604138524,17,0
1604139724,22,56
1604140324,44,83
1604140924,31,62
1604141523,42,0
1604142123,35,36
1604142724,21,0
1604143324,33,44
1604144523,39,0
1604145723,28,50
1604146324,31,31
1604146924,24,42
1604148124,30,0
1604148724,25,43
1604149323,11,30
1604149923,21,29
1604151124,6,0
1604151724,27,18
1604152323,12,0
1604152924,31,0
1604153524,14,30
1604154124,20,0
1604155324,44,30
1604155924,15,27
1604156524,29,20
1604158324,17,21
1604158924,6,0
1604159524,29,66
1604160123,41,0
1604160724,30,41
1604161924,31,62
1604162523,39,0
1604163723,27,32
1604164924,45,18
1604165524,26,37
1604166723,36,15
1604167324,15,0
1604168524,23,44
1604169724,14,41
1604170924,19,24
1604171523,20,0
1604172124,41,19
1604173324,28,37
1604174524,20,17
1604175124,43,85
1604176324,21,18
1604176924,31,0
1604178124,25,32
1604179324,43,28
1604180524,50,26
1604181124,43,30
1604181723,14,14
1604182924,30,19
1604183524,14,0
1604184124,24,0
1604185324,15,56
1604185924,15,0
1604186524,9,28
1604187724,32,0
1604188924,33,60
1604190124,29,31
1604191324,25,54
1604191923,29,0
1604192524,23,5
1604193724,34,50
1604194924,30,50
1604195524,16,0
1604196723,19,52
1604197324,21,0
1604198524,17,6
1604199124,11,8
1604199724,10,0
1604200924,29,42
1604202123,25,77
1604203324,28,13
1604204524,26,50
1604205124,34,0
1604205723,28,18
1604206923,21,68
1604208123,21,10
1604209323,23,39
1604209924,19,26
1604210524,25,38
1604211723,31,39
1604212324,60,0
1604212924,17,81
1604214124,28,0
1604214723,17,39
1604215324,23,0
1604216524,16,0
1604217123,6,20
1604217723,25,0
1604218924,22,37
1604219524,8,25
1604220124,30,21
1604220724,26,0
1604221323,18,0
1604221924,9,13
1604222523,20,0
1604223724,15,44
1604224924,12,10
1604225524,17,20
1604226123,27,20
1604226724,22,0
1604227324,16,63
1604228524,17,55
1604229123,20,62
1604229723,20,0
1604230924,38,79
1604232123,19,0
1604233324,29,55
1604234524,26,19
1604235723,27,29
1604236924,38,8
1604238124,32,34
1604238724,18,48
1604239924,32,36
1604240523,16,0
1604241724,35,47
1604242924,30,42
1604243524,20,0
1604244124,42,12
1604245324,24,4
1604245924,9,90
1604246524,35,33
1604247723,35,0
1604248923,22,130
1604250123,44,0
1604250723,33,51
1604251924,52,62
1604252523,36,0
1604253124,46,5
1604254324,34,19
1604254923,29,0
1604256123,73,10
1604256723,94,28
1604257323,32,17
1604258523,32,23
1604259124,14,36
1604259724,37,0
1604260924,37,36
1604261523,28,15
1604262724,42,44
1604263324,39,36
1604264523,46,39
1604265124,41,0
1604265724,36,44
1604266324,30,0
1604266924,35,0
1604268124,28,108
1604269324,31,9
1604269924,30,0
1604270524,36,16
1604271124,21,17
1604271723,22,0
1604272924,18,16
1604274123,17,26
1604275323,25,62
1604276523,21,0
1604277724,21,34
1604278924,36,42
1604279524,17,31
1604280124,9,17
1604280724,36,0
1604281924,19,32
1604282523,14,14
1604283723,26,13
1604284324,30,17
1604284923,14,0
1604286124,30,13
1604286724,20,36
1604287323,16,0
1604288524,24,20
1604289724,12,56
1604290924,40,0
1604291523,39,15
1604292124,25,50
1604293323,21,0
1604294523,26,26
1604295724,18,0
1604296923,34,50
1604298124,29,34
1604298723,13,19
1604299324,33,54
1604300524,32,36
1604301724,20,0
1604302924,34,38
1604304123,35,50
1604305324,21,21
1604306523,31,65
1604307724,22,36
1604308324,12,0
1604308924,21,13
1604310123,21,22
1604311323,36,8
1604312524,56,34
1604313124,30,47
1604313724,28,20
1604314324,45,0
1604314923,28,14
1604316124,22,21
1604316724,17,43
1604317323,29,0
1604318523,34,26
1604319124,28,37
1604320324,44,0
1604320924,39,42
1604322124,36,0
1604322724,27,35
1604323324,23,0
1604323924,71,21
1604324524,19,26
1604325123,25,0
1604326323,24,23
1604326923,22,13
1604327523,10,11
1604328124,21,29
1604330523,29,27
1604331723,39,27
1604332323,43,26
1604333523,23,27
1604334124,16,27
1604335324,29,0
1604337123,28,108
1604337724,16,0
1604338324,29,47
1604338924,39,0
1604340123,31,0
1604341324,24,121
1604342524,39,0
1604343124,34,57
1604343724,24,0
1604344923,20,147
1604346123,11,6
1604346724,25,38
1604347923,26,75
1604348523,16,0
1604349723,36,72
1604350923,37,43
1604352124,24,55
1604352724,27,51
1604353323,20,27
1604354524,15,0
1604355723,32,21
1604356323,33,96
1604357523,23,40
1604358724,24,22
1604359323,24,22
1604360523,32,14
1604361124,18,0
1604362324,31,13
1604362924,19,0
1604363524,20,14
1604364724,21,24
1604365323,25,43
1604365924,25,0
1604366525,10,9
1604367724,16,55
1604368324,25,6
1604368924,3,0
1604370124,15,26
1604371324,26,92
1604372523,28,0
1604373124,18,22
1604373724,11,40
1604374924,13,0
1604375524,6,25
1604376124,34,48
1604376723,29,0
1604377324,36,0
1604378524,17,75
1604379723,30,0
1604380923,25,21
1604382124,36,66
1604382724,33,0
1604383323,12,0
1604384524,11,20
1604385124,37,34
1604385724,17,0
1604386924,19,27
1604387523,11,65
